worker_id,worker_name,platform,city,delivery_type,age_group,experience_months,weekly_avg_earnings,subscription_status,risk_score,disruption_type,disruption_date,disruption_intensity,income_loss_percentage,claim_amount,claim_status,claim_approved_amount,days_worked_weekly,avg_delivery_distance_km,vehicle_type,zone_id,weather_condition,pollution_index,gps_accuracy_percent,claim_fraud_indicator,approval_date,payout_date,customer_rating,total_claims,premium_weekly,zone_safety_score
W0001,Divya Kumar,Zomato,Bangalore,Food Delivery,25-35,53,5339,suspended,53,Extreme Conditions,2026-04-04,Low,14,747.46,approved,747.46,3,1.8,Two-wheeler,Z065,Very Hazy,Low,98.6,false,2026-04-05,2026-04-06,4.6,4,153,57
W0002,Vinod Desai,Zomato,Kolkata,Food Delivery,25-35,50,7962,inactive,38,Flooding,2026-03-14,High,28,2229.36,approved,2229.36,6,1.8,Three-wheeler,Z078,Hazy,Low,99.1,false,2026-03-15,2026-03-16,4.1,3,110,67
W0003,Nikhil Desai,Zomato,Hyderabad,Food Delivery,20-25,8,9917,active,54,Heat Wave,2026-03-06,Medium,16,1586.72,rejected,0,5,3.1,Three-wheeler,Z021,Hazy,High,97.6,false,2026-03-08,,4.7,5,182,52
W0004,Arjun Patel,Zomato,Bangalore,Food Delivery,45-55,23,9742,suspended,47,Extreme Heat,2026-04-13,High,26,2532.92,approved,2532.92,3,4.3,Three-wheeler,Z035,Rainy,Medium,99.6,false,2026-04-14,2026-04-15,4.9,2,127,70
W0005,Anita Das,Zomato,Bangalore,Food Delivery,25-35,21,10602,suspended,47,Extreme Heat Wave,2026-04-07,Very High,49,5194.98,rejected,0,5,2.3,Two-wheeler,Z066,Very Hot,Low,99.2,false,2026-04-09,,4.2,1,187,63
W0006,Arjun Singh,Zomato,Chennai,Food Delivery,35-45,41,11551,active,51,Zone Lockdown,2026-03-08,High,35,4042.85,approved,4042.85,5,3.0,Three-wheeler,Z001,Cloudy,High,99.8,true,2026-03-09,2026-03-10,4.2,0,180,59
W0007,Rohan Desai,Zomato,Bangalore,Food Delivery,25-35,40,10878,suspended,59,Extreme Rain,2026-04-08,High,40,4351.2,approved,4351.2,3,4.8,Three-wheeler,Z031,Rainy,Medium,99.5,false,2026-04-09,2026-04-10,4.1,3,108,74
W0008,Naveen Patel,Zomato,Pune,Food Delivery,25-35,22,8822,suspended,43,Flash Flood,2026-04-04,Medium,19,1676.18,rejected,0,5,3.0,Bicycle,Z058,Rainy,Medium,97.7,false,2026-04-06,,4.0,4,129,68
W0009,Vishal Kumar,Zomato,Pune,Food Delivery,25-35,10,11917,active,57,Heavy Pollution,2026-03-05,Medium,19,2264.23,rejected,0,4,3.4,Bicycle,Z074,Very Hazy,Very High,97.7,false,2026-03-07,,4.8,1,112,53
W0010,Sneha Rao,Zomato,Chennai,Food Delivery,20-25,49,9853,suspended,33,Heavy Rain,2026-03-26,High,28,2758.84,approved,2758.84,4,2.2,Three-wheeler,Z018,Very Hot,Medium,97.8,false,2026-03-27,2026-03-28,4.9,0,156,75
W0011,Divya Singh,Zomato,Pune,Food Delivery,20-25,54,11452,active,35,Pollution Spike,2026-04-01,Very High,43,4924.36,rejected,0,3,2.1,Two-wheeler,Z050,Hazy,Very High,97.8,false,2026-04-03,,5.0,4,184,72
W0012,Anita Patel,Zomato,Delhi,Food Delivery,20-25,43,10527,suspended,31,Zone Lockdown,2026-03-21,Low,8,842.16,pending,0,6,3.3,Bicycle,Z021,Rainy,Severe,97.2,false,2026-03-23,,4.1,0,186,77
W0013,Riya Das,Zomato,Hyderabad,Food Delivery,20-25,45,5171,inactive,51,Street Closure,2026-04-06,High,33,1706.43,approved,1706.43,5,2.3,Three-wheeler,Z017,Cloudy,High,98.3,true,2026-04-07,2026-04-08,4.9,0,158,69
W0014,Sanjay Singh,Zomato,Hyderabad,Food Delivery,35-45,14,7359,active,58,Extreme Heat,2026-03-24,High,30,2207.7,rejected,0,7,4.0,Bicycle,Z084,Very Hazy,Low,98.9,false,2026-03-26,,4.3,5,113,80
W0015,Rohan Sharma,Zomato,Mumbai,Food Delivery,35-45,24,9454,active,52,Heavy Pollution,2026-03-14,High,40,3781.6,approved,3781.6,3,1.8,Three-wheeler,Z036,Rainy,Low,98.0,false,2026-03-15,2026-03-16,4.6,2,120,73
W0016,Vinod Nair,Zomato,Hyderabad,Food Delivery,20-25,10,11734,suspended,58,Flooding,2026-04-04,Low,13,1525.42,pending,0,7,2.0,Two-wheeler,Z006,Hazy,High,99.6,false,2026-04-06,,4.9,1,187,57
W0017,Sandeep Rao,Zomato,Hyderabad,Food Delivery,25-35,16,11052,active,58,Pollution Spike,2026-03-02,Medium,20,2210.4,rejected,0,4,2.4,Bicycle,Z014,Very Hot,Low,99.5,false,2026-03-04,,4.2,3,144,59
W0018,Vishal Verma,Zomato,Pune,Food Delivery,45-55,27,6782,active,60,App Crash,2026-03-18,High,37,2509.34,pending,0,5,4.8,Two-wheeler,Z034,Clear,Severe,99.8,false,2026-03-20,,4.0,4,155,61
W0019,Karthik Das,Zomato,Chennai,Food Delivery,35-45,8,10306,inactive,30,Curfew Lockdown,2026-04-04,Medium,20,2061.2,rejected,0,3,4.8,Three-wheeler,Z080,Hazy,Low,99.1,false,2026-04-06,,4.5,5,152,60
W0020,Nikita Sharma,Zomato,Bangalore,Food Delivery,45-55,49,10628,active,49,Street Closure,2026-03-20,Very High,48,5101.44,approved,5101.44,5,2.5,Three-wheeler,Z075,Very Hazy,High,98.3,false,2026-03-21,2026-03-22,4.7,4,160,75
W0021,Arjun Singh,Zomato,Hyderabad,Food Delivery,20-25,58,10653,active,51,Heat Wave,2026-03-15,Medium,17,1811.01,approved,1811.01,3,2.4,Three-wheeler,Z079,Stormy,Low,98.3,false,2026-03-16,2026-03-17,4.6,5,189,62
W0022,Anita Das,Zomato,Bangalore,Food Delivery,20-25,55,7982,active,35,App Downtime,2026-04-14,Very High,40,3192.8,pending,0,4,4.7,Two-wheeler,Z059,Clear,Very High,98.9,false,2026-04-16,,4.6,3,178,76
W0023,Rohan Das,Zomato,Bangalore,Food Delivery,45-55,22,10658,active,56,Market Closure,2026-03-18,Very High,50,5329.0,approved,5329.0,5,3.0,Bicycle,Z037,Clear,High,98.0,false,2026-03-19,2026-03-20,4.1,1,129,62
W0024,Kavya Verma,Zomato,Chennai,Food Delivery,35-45,40,8316,inactive,31,Flash Flood,2026-03-27,Very High,49,4074.84,approved,4074.84,7,2.8,Two-wheeler,Z046,Hazy,Very High,99.5,false,2026-03-28,2026-03-29,4.5,5,169,75
W0025,Arjun Verma,Zomato,Bangalore,Food Delivery,45-55,37,4737,inactive,40,Market Strike,2026-04-13,Very High,42,1989.54,rejected,0,4,4.9,Bicycle,Z004,Very Hot,Severe,98.6,false,2026-04-15,,4.1,3,117,77
W0026,Priyanka Patel,Zomato,Delhi,Food Delivery,35-45,19,8224,inactive,40,App Crash,2026-03-25,High,38,3125.12,approved,3125.12,3,3.1,Bicycle,Z070,Rainy,High,97.7,false,2026-03-26,2026-03-27,4.8,5,105,74
W0027,Priya Verma,Zomato,Kolkata,Food Delivery,25-35,21,5534,inactive,51,Severe Waterlogging,2026-04-06,Medium,22,1217.48,approved,1217.48,5,2.1,Bicycle,Z096,Cloudy,Low,99.3,false,2026-04-07,2026-04-08,5.0,0,174,50
W0028,Anjali Desai,Zomato,Chennai,Food Delivery,20-25,43,10157,suspended,37,Severe Waterlogging,2026-04-14,High,28,2843.96,pending,0,3,2.7,Three-wheeler,Z085,Hazy,Low,98.5,false,2026-04-16,,4.0,3,162,53
W0029,Sneha Rao,Zomato,Pune,Food Delivery,45-55,17,10511,suspended,60,Market Closure,2026-03-18,Very High,47,4940.17,rejected,0,7,2.4,Two-wheeler,Z012,Hazy,Very High,97.7,false,2026-03-20,,4.6,5,148,60
W0030,Priya Gupta,Zomato,Bangalore,Food Delivery,25-35,28,11035,inactive,40,Extreme Heat Wave,2026-04-08,High,25,2758.75,pending,0,4,1.8,Bicycle,Z053,Very Hot,Severe,99.2,false,2026-04-10,,4.5,5,162,64
W0031,Priya Singh,Zomato,Bangalore,Food Delivery,25-35,25,9939,suspended,41,Curfew Alert,2026-04-05,High,38,3776.82,pending,0,5,2.7,Three-wheeler,Z035,Hazy,High,97.7,false,2026-04-07,,4.2,0,195,67
W0032,Sakshi Verma,Zomato,Pune,Food Delivery,35-45,52,9329,suspended,49,Heat Wave,2026-03-07,Medium,19,1772.51,approved,1772.51,5,2.1,Two-wheeler,Z091,Very Hazy,Medium,97.8,false,2026-03-08,2026-03-09,4.6,5,116,70
W0033,Anita Singh,Zomato,Hyderabad,Food Delivery,45-55,36,8108,inactive,35,Heavy Rain,2026-03-17,Very High,41,3324.28,approved,3324.28,6,3.2,Bicycle,Z081,Cloudy,Low,97.4,false,2026-03-18,2026-03-19,4.9,0,131,53
W0034,Divya Das,Zomato,Kolkata,Food Delivery,45-55,34,6935,suspended,43,Heat Wave,2026-04-06,Low,9,624.15,approved,624.15,4,2.4,Two-wheeler,Z021,Clear,Medium,98.6,false,2026-04-07,2026-04-08,4.0,3,188,69
W0035,Manish Sharma,Zomato,Bangalore,Food Delivery,35-45,50,11541,inactive,32,Market Strike,2026-03-15,High,31,3577.71,rejected,0,3,3.4,Bicycle,Z020,Hazy,Medium,97.2,false,2026-03-17,,4.8,4,195,76
W0036,Sanjay Sharma,Zomato,Mumbai,Food Delivery,35-45,50,7797,inactive,46,Curfew Enforcement,2026-04-01,Very High,41,3196.77,pending,0,3,4.6,Bicycle,Z042,Very Hazy,High,97.1,false,2026-04-03,,5.0,4,175,80
W0037,Priya Sharma,Zomato,Kolkata,Food Delivery,45-55,39,9837,inactive,59,Extreme Heat Wave,2026-03-12,Very High,50,4918.5,rejected,0,3,3.1,Three-wheeler,Z043,Hazy,Low,99.5,false,2026-03-14,,4.4,3,136,71
W0038,Nikita Nair,Zomato,Chennai,Food Delivery,35-45,22,7148,active,54,Pollution Crisis,2026-04-02,Low,15,1072.2,rejected,0,3,2.2,Three-wheeler,Z080,Stormy,Very High,98.8,true,2026-04-04,,4.1,2,170,54
W0039,Nikhil Gupta,Zomato,Mumbai,Food Delivery,25-35,51,5797,inactive,47,Extreme Rain,2026-04-05,Very High,41,2376.77,approved,2376.77,3,3.1,Two-wheeler,Z083,Stormy,Medium,98.4,false,2026-04-06,2026-04-07,4.3,5,134,63
W0040,Manish Gupta,Zomato,Chennai,Food Delivery,45-55,18,9410,suspended,53,Extreme Conditions,2026-03-09,Low,12,1129.2,rejected,0,5,4.8,Bicycle,Z035,Stormy,Low,97.8,false,2026-03-11,,4.8,4,184,65
W0041,Kavya Gupta,Zomato,Delhi,Food Delivery,45-55,35,7136,active,52,Extreme Heat,2026-04-06,Very High,43,3068.48,rejected,0,3,2.6,Three-wheeler,Z091,Stormy,Very High,98.1,false,2026-04-08,,4.8,5,119,65
W0042,Amit Patel,Zomato,Kolkata,Food Delivery,45-55,12,8808,inactive,30,Zone Lockdown,2026-03-10,Very High,50,4404.0,approved,4404.0,3,3.1,Three-wheeler,Z044,Very Hazy,Very High,98.9,false,2026-03-11,2026-03-12,4.9,4,148,80
W0043,Karthik Gupta,Zomato,Hyderabad,Food Delivery,25-35,46,10106,inactive,37,Zone Lockdown,2026-03-06,Very High,41,4143.46,approved,4143.46,6,2.1,Three-wheeler,Z004,Rainy,High,99.3,false,2026-03-07,2026-03-08,4.4,3,118,57
W0044,Kavya Das,Zomato,Bangalore,Food Delivery,20-25,45,11633,inactive,49,Market Strike,2026-03-16,Very High,49,5700.17,approved,5700.17,4,3.1,Three-wheeler,Z059,Hazy,Low,99.6,false,2026-03-17,2026-03-18,4.9,5,169,55
W0045,Vikram Gupta,Zomato,Hyderabad,Food Delivery,45-55,50,6548,inactive,57,Heat Wave,2026-03-13,Very High,47,3077.56,approved,3077.56,4,2.8,Three-wheeler,Z074,Hazy,High,97.1,false,2026-03-14,2026-03-15,4.4,0,172,77
W0046,Neha Desai,Zomato,Kolkata,Food Delivery,25-35,44,11069,inactive,37,Market Closure,2026-03-13,High,29,3210.01,approved,3210.01,3,2.6,Three-wheeler,Z005,Very Hazy,High,99.1,false,2026-03-14,2026-03-15,4.9,2,195,63
W0047,Sakshi Verma,Zomato,Kolkata,Food Delivery,35-45,59,5847,inactive,59,App Issue,2026-03-31,High,35,2046.45,approved,2046.45,6,4.9,Two-wheeler,Z097,Clear,Very High,99.8,false,2026-04-01,2026-04-02,4.4,3,101,58
W0048,Naveen Singh,Zomato,Delhi,Food Delivery,45-55,58,9730,inactive,33,Market Strike,2026-03-15,Very High,40,3892.0,pending,0,7,2.6,Bicycle,Z029,Cloudy,Low,98.8,false,2026-03-17,,4.9,2,183,63
W0049,Divya Patel,Zomato,Mumbai,Food Delivery,45-55,13,5296,active,58,Curfew Enforcement,2026-03-09,Very High,47,2489.12,approved,2489.12,7,3.0,Bicycle,Z094,Clear,Very High,98.9,false,2026-03-10,2026-03-11,4.6,2,104,72
W0050,Deepika Verma,Zomato,Chennai,Food Delivery,35-45,12,10117,inactive,47,Extreme Conditions,2026-04-11,High,26,2630.42,rejected,0,5,2.2,Two-wheeler,Z059,Rainy,Medium,98.9,false,2026-04-13,,5.0,0,200,60
W0051,Riya Patel,Zomato,Mumbai,Food Delivery,25-35,58,11624,active,40,App Crash,2026-03-10,Low,12,1394.88,approved,1394.88,4,3.4,Two-wheeler,Z015,Cloudy,Low,97.4,false,2026-03-11,2026-03-12,4.8,1,175,60
